Mass,C,H,O,N,C13,S,P,Error,NeutralMass,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect
231.9435528,0,0,0,0,0,0,0,0,232.9508293,NA,NA,NA,NA,NA,NA,231.68456255685606,0.31543744314393507
232.0251132,11,7,5,1,0,0,0,0.140371292,233.0323896,C11H7NO5,0.45454545454545453,0.6363636363636364,0.09090909090909091,0,NA,231.7660318857848,0.2339681142152017
232.0376958,0,0,0,0,0,0,0,0,233.0449723,NA,NA,NA,NA,NA,NA,231.77860043594123,0.22139956405877115
232.0438523,12,11,2,1,0,1,0,-0.344056514,233.0511288,C12H11NO2S,0.16666666666666666,0.9166666666666666,0.08333333333333333,0,NA,231.78475006153835,0.2152499384616533
232.0461433,0,0,0,0,0,0,0,0,233.0534197,NA,NA,NA,NA,NA,NA,231.7870385033873,0.21296149661270647
232.9237728,0,0,0,0,0,0,0,0,233.9310492,NA,NA,NA,NA,NA,NA,232.6636880344472,0.3363119655527953
232.9246842,0,0,0,0,0,0,0,0,233.9319606,NA,NA,NA,NA,NA,NA,232.66459841676982,0.33540158323017977
232.9348451,0,0,0,0,0,0,0,0,233.9421216,NA,NA,NA,NA,NA,NA,232.6747479710181,0.3252520289819074
232.9444017,0,0,0,0,0,0,0,0,233.9516781,NA,NA,NA,NA,NA,NA,232.68429390003314,0.31570609996686017
233.0091586,11,6,6,0,0,0,0,0.01223606,234.0164351,C11H6O6,0.5454545454545454,0.5454545454545454,0,0,NA,232.74897849190012,0.2510215080998819
233.0302785,8,10,8,0,0,0,0,0.052646103,234.037555,C8H10O8,1,1.25,0,0,NA,232.77007480923112,0.2299251907688813
233.045531,12,10,5,0,0,0,0,0.068126306,234.0528075,C12H10O5,0.4166666666666667,0.8333333333333334,0,0,NA,232.78531027815336,0.21468972184663926
233.0666938,9,14,7,0,0,0,0,-0.07460966,234.0739703,C9H14O7,0.7777777777777778,1.5555555555555556,0,0,NA,232.8064494475818,0.19355055241820196
233.0778653,8,14,6,2,0,0,0,0.189903069,234.0851417,C8H14N2O6,0.75,1.75,0.25,0,NA,232.81760847338512,0.18239152661487879
233.0779941,8,14,6,2,0,0,0,-0.360527609,234.0852706,C8H14N2O6,0.75,1.75,0.25,0,NA,232.81773712956587,0.1822628704341298
233.0818823,13,14,4,0,0,0,0,0.214508819,234.0891587,C13H14O4,0.3076923076923077,1.0769230769230769,0,0,NA,232.821620987967,0.1783790120329911
233.1029866,10,18,6,0,0,0,0,0.321330489,234.1102631,C10H18O6,0.6,1.8,0,0,NA,232.8427017227171,0.15729827728290502
233.9242571,0,0,0,0,0,0,0,0,234.9315336,NA,NA,NA,NA,NA,NA,233.6630551847399,0.3369448152600967
234.0044256,10,5,6,1,0,0,0,-0.064558324,235.0117021,C10H5NO6,0.6,0.5,0.1,0,NA,233.7431341678766,0.2568658321233954
234.0169666,0,0,0,0,0,0,0,0,235.0242431,NA,NA,NA,NA,NA,NA,233.75566116448397,0.2443388355160323
234.0275407,0,0,0,0,0,0,0,0,235.0348172,NA,NA,NA,NA,NA,NA,233.76622345734944,0.2337765426505598
234.0407202,11,9,5,1,0,0,0,0.322142312,235.0479967,C11H9NO5,0.45454545454545453,0.8181818181818182,0.09090909090909091,0,NA,233.779388241002,0.22061175899798968
234.0619137,8,13,7,1,0,0,0,0.049529128,235.0691901,C8H13NO7,0.875,1.625,0.125,0,NA,233.80055807615057,0.1994419238494345
234.9136686,0,0,0,0,0,0,0,0,235.920945,NA,NA,NA,NA,NA,NA,234.65136189902,0.34863810097999703
234.921515,0,0,0,0,0,0,0,0,235.9287915,NA,NA,NA,NA,NA,NA,234.65919953765967,0.3408004623403258
234.9884095,10,4,7,0,0,0,0,0.069876535,235.995686,C10H4O7,0.7,0.4,0,0,NA,234.72601934266336,0.27398065733663657
235.0171564,0,0,0,0,0,0,0,0,236.0244328,NA,NA,NA,NA,NA,NA,234.754734143618,0.24526585638199094
235.0248178,11,8,6,0,0,0,0,-0.026616443,236.0320943,C11H8O6,0.5454545454545454,0.7272727272727273,0,0,NA,234.76238698883031,0.23761301116968525
235.0459301,8,12,8,0,0,0,0,0.045842078,236.0532065,C8H12O8,1,1.5,0,0,NA,234.78347571464752,0.21652428535247736
235.0611773,12,12,5,0,0,0,0,0.083459345,236.0684538,C12H12O5,0.4166666666666667,1,0,0,NA,234.79870588948782,0.2012941105121797
235.0724594,11,12,4,2,0,0,0,-0.12286701,236.0797359,C11H12N2O4,0.36363636363636365,1.0909090909090908,0.18181818181818182,0,NA,234.80997539179418,0.19002460820581746
235.0823562,9,16,7,0,0,0,0,-0.126341965,236.0896327,C9H16O7,0.7777777777777778,1.7777777777777777,0,0,NA,234.81986114093885,0.18013885906114524
235.0975302,13,16,4,0,0,0,0,0.221525837,236.1048067,C13H16O4,0.3076923076923077,1.2307692307692308,0,0,NA,234.8350181975149,0.16498180248510153
235.1187195,10,20,6,0,0,0,0,-0.032096857,236.125996,C10H20O6,0.6,2,0,0,NA,234.85618383735323,0.14381616264677177
235.1703063,15,24,2,0,0,0,0,0.200179277,236.1775827,C15H24O2,0.13333333333333333,1.6,0,0,NA,234.90771303507148,0.09228696492851896
235.9535321,0,0,0,0,0,0,0,0,236.9608085,NA,NA,NA,NA,NA,NA,235.6900642781462,0.3099357218538046
236.0201146,10,7,6,1,0,0,0,-0.228091773,237.027391,C10H7NO6,0.6,0.7,0.1,0,NA,235.75657243153188,0.24342756846812108
236.0324826,0,0,0,0,0,0,0,0,237.0397591,NA,NA,NA,NA,NA,NA,235.7689266213126,0.2310733786873982
236.0563442,11,11,5,1,0,0,0,0.429635504,237.0636206,C11H11NO5,0.45454545454545453,1,0.09090909090909091,0,NA,235.7927615772369,0.20723842276311188
